crown_id,confidence,Plot_ID,kmlgeometry
277,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-109.871975921676,3284476.81375358 -109.875623619591,3284476.13717383 -109.699571670673,3284476.13567774 -108.938393294637,3284475.92756967 -108.886562906497,3284475.12057087 -108.651255822624,3284475.18578444 -108.126526704174,3284474.77804617 -108.132237987185,3284474.10596276 -107.906640040805,3284473.02863454 -107.973319816636,3284472.08821645 -107.98074446508,3284471.21450801 -108.050279885822,3284469.93804821 -108.233756593894,3284469.06583584 -109.466692146962,3284469.00910004 -110.819280330965,3284468.68452842 -111.521775155212,3284468.8921379 -112.049931346322,3284468.89662627 -112.871507643547,3284468.90360823 -112.807112068171,3284469.57519293 -112.745572276879,3284469.91073592 -112.980308339407,3284469.91273078 -113.273728420143,3284469.91522435 -113.861139742541,3284469.85300319 -114.271927857655,3284469.85649423 -114.857625688543,3284469.99589814 -114.913453863235,3284470.33243857 -115.027394877165,3284470.73668607 -115.786859992018,3284471.14641958 -115.901372140739,3284471.48345874 -115.779434734373,3284472.02012802 -114.959000997886,3284471.87872916 -114.95157580293,3284472.75243761 -115.12762780604,3284472.75393379 -115.766868909704,3284473.49871156 -115.763441865798,3284473.90196161 -114.998836416518,3284474.09710318 -115.168605523184,3284474.83789112 -116.868156526354,3284475.12118769 -116.860159992415,3284476.06210449 -116.038584213005,3284476.05512222 -115.091644076689,3284476.98805936 -114.152700411214,3284476.98007978 -112.567661821784,3284477.03382275 -111.679977188935,3284477.90005054 -110.094938752416,3284477.95379387 -109.871975921676,3284476.81375358</coordinates></LinearRing></outerBoundaryIs></Polygon>"
439,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-105.650376861275,3284476.10126832 -103.125823419366,3284476.21424219 -103.186791796412,3284475.94590749 -102.953769157175,3284475.74228781 -102.956624644459,3284475.40624611 -102.842112155864,3284475.06920708 -102.020536330587,3284475.06222584 -101.964136708993,3284474.79289382 -101.913447992119,3284473.85147839 -102.033671437937,3284473.516434 -101.743677997612,3284473.11069067 -101.508942007087,3284473.10869605 -100.863418033405,3284473.10321087 -100.866273455205,3284472.76716917 -100.871413213783,3284472.1622941 -100.874268634827,3284471.8262524 -100.879408392007,3284471.22137733 -101.29248079058,3284470.95603453 -101.350593712297,3284471.02374153 -101.644013755897,3284471.0262348 -102.113485824433,3284471.03022405 -102.993745955522,3284471.03770394 -102.996601439139,3284470.70166224 -103.001170212287,3284470.16399551 -103.120822628611,3284469.89615947 -103.590294746216,3284469.90014878 -104.353186939028,3284469.90663146 -105.292131177615,3284469.9146102 -105.644235267653,3284469.91760225 -105.995197128737,3284470.05501099 -106.111422926013,3284470.19042503 -106.162682436232,3284471.06463214 -106.158684625523,3284471.53509053 -106.272625938349,3284471.93933793 -106.91700774635,3284472.07924011 -106.914723264228,3284472.34807347 -106.90958317864,3284472.95294855 -106.084580495604,3284473.34921706 -106.080011568905,3284473.88688379 -106.016758650541,3284474.42405185 -106.009905262443,3284475.23055194 -105.650376861275,3284476.10126832</coordinates></LinearRing></outerBoundaryIs></Polygon>"
249,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-101.653722261195,3284469.88369301 -101.838340646704,3284468.87706387 -101.662288586842,3284468.8755679 -101.076019471802,3284468.80337303 -101.198527282686,3284468.19949527 -101.493660660344,3284468.00036351 -101.848049164168,3284467.73452208 -101.734678730951,3284467.26306639 -102.381916319602,3284467.06692659 -102.970469903084,3284466.87028816 -103.034864893649,3284466.19870342 -104.62047602766,3284466.07775071 -105.791872279195,3284466.35655754 -105.90410032589,3284466.96242996 -106.430543251394,3284467.16854308 -106.781505191291,3284467.30595184 -106.895446532813,3284467.71019925 -106.949561598944,3284468.24836466 -106.651001417486,3284468.85074632 -105.770741106826,3284468.84326614 -105.064248424198,3284469.10611542 -104.999853319488,3284469.77770015 -104.236961117946,3284469.77121744 -101.653722261195,3284469.88369301</coordinates></LinearRing></outerBoundaryIs></Polygon>"
556,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.6346560423844,3284473.2102022 -93.9979613922769,3284472.97766245 -93.8851617362234,3284472.43899851 -93.7113939007977,3284472.1686693 -93.7153911892092,3284471.69821092 -93.8396116994554,3284470.89270807 -93.9581218000385,3284470.75928862 -94.0213741517509,3284470.22212052 -94.1979972310364,3284470.15640803 -94.7284375272575,3284469.89206222 -94.8498028877657,3284469.42260108 -95.1455071658129,3284469.15626082 -95.615550357732,3284469.09304146 -96.026909538894,3284469.02932348 -96.5556367606623,3284468.96660278 -96.8427752007265,3284469.70838767 -96.8997460342944,3284469.91051132 -97.134482090536,3284469.91250584 -97.4848729834775,3284470.11712265 -97.7190379708773,3284470.18632553 -98.0113158980967,3284470.32323538 -98.8932892921148,3284470.12908993 -99.0664859659737,3284470.46662755 -99.0009490821394,3284471.272629 -98.8801546348259,3284471.67488176 -98.8180442005396,3284472.07763316 -98.1725201701629,3284472.07214814 -97.9930417589494,3284472.47390227 -97.7531661662506,3284473.07678279 -97.6346560423844,3284473.2102022</coordinates></LinearRing></outerBoundaryIs></Polygon>"
51,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-109.381307620439,3284465.24443555 -106.920575779572,3284464.75303226 -106.922289136564,3284464.55140724 -106.9251447313,3284464.21536553 -106.751948184043,3284463.87782779 -106.048310737126,3284463.8046353 -106.11099258106,3284463.33467559 -106.113848150242,3284462.99863389 -106.063730799709,3284461.99001011 -106.067157479236,3284461.58676007 -106.249491911964,3284460.84896436 -107.313229605148,3284459.98423218 -107.608363308595,3284459.78510058 -108.313143255131,3284459.72387648 -109.074322758592,3284459.93198448 -109.958581729035,3284459.46900651 -110.899240281025,3284459.27536068 -110.95392635715,3284459.74631777 -111.302032762673,3284460.21976837 -111.474086943141,3284460.69172287 -111.823906737845,3284460.96354847 -112.646625922236,3284460.83611371 -112.937761623296,3284461.10744064 -112.929765460955,3284462.04835741 -112.926909688162,3284462.38439912 -112.629491340194,3284462.85236394 -112.042079661216,3284462.91458518 -111.80505885923,3284463.18142372 -111.451812260377,3284463.31284816 -111.331017287623,3284463.7151008 -111.150395989767,3284464.25127141 -111.145826835011,3284464.78893814 -110.615385886282,3284465.05328318 -109.381307620439,3284465.24443555</coordinates></LinearRing></outerBoundaryIs></Polygon>"
487,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.846181487315,3284458.34242318 -111.790924292291,3284457.93867443 -111.322022807901,3284457.86747645 -110.090228286921,3284457.7897954 -110.094797379279,3284457.25212867 -110.278845550201,3284456.312708 -110.924941649195,3284456.25098536 -111.050305809826,3284455.311066 -111.287326751743,3284455.04422745 -112.226843401499,3284454.9849984 -112.520263871877,3284454.98749195 -113.695088073728,3284454.86304952 -114.75197294855,3284454.80481812 -114.978713014105,3284455.74772978 -114.97585718648,3284456.08377148 -114.966718536045,3284457.15910493 -114.549647157546,3284457.89490563 -114.134860476363,3284458.36187298 -113.423797673488,3284459.16238846 -112.309371447773,3284459.08570459 -111.846181487315,3284458.34242318</coordinates></LinearRing></outerBoundaryIs></Polygon>"
308,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-100.319546219776,3284461.13464118 -99.7999558085576,3284460.12202828 -99.2148283686838,3284459.91541684 -98.8678635953693,3284459.30754995 -98.8148902159301,3284458.63496792 -98.8781428448856,3284458.09779984 -99.2371001578285,3284457.29429161 -100.235871677985,3284457.16835186 -100.823283569887,3284457.10612999 -101.584463374922,3284457.31423747 -101.934283506882,3284457.58606275 -101.928001543041,3284458.32535449 -101.924575016717,3284458.72860452 -101.911439995747,3284460.27439633 -101.495511770656,3284460.87578082 -100.319546219776,3284461.13464118</coordinates></LinearRing></outerBoundaryIs></Polygon>"
85,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-101.178814556391,3284456.70587186 -101.147542420542,3284453.47937293 -101.736096682784,3284453.28273442 -102.61978475214,3284452.88696422 -103.5581593198,3284452.96215112 -104.439563077001,3284452.83521441 -105.495876957604,3284452.84419047 -106.079291332338,3284453.25242725 -106.12598208338,3284454.66430106 -106.120842073811,3284455.26917611 -105.935652018234,3284456.34301352 -105.753888657491,3284457.01360089 -105.572125314386,3284457.68418827 -105.159052332863,3284457.94953092 -104.219535990502,3284458.00876055 -102.870373307727,3284457.93008296 -102.63620809,3284457.86087999 -101.93599676952,3284457.38443773 -101.178814556391,3284456.70587186</coordinates></LinearRing></outerBoundaryIs></Polygon>"
450,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-135.676538854372,3284479.83869388 -134.108645538567,3284478.74157167 -134.189803759917,3284478.47131286 -133.96091446327,3284477.56620503 -133.961682113295,3284477.47589534 -133.970126262866,3284476.48248867 -133.977035110816,3284475.6697014 -133.901250420604,3284475.30779233 -133.191552823933,3284475.30175979 -132.954986958997,3284475.29974896 -132.640333444229,3284475.20675815 -132.403767576383,3284475.20474733 -130.987442878599,3284474.83144371 -130.910122837522,3284474.65015405 -130.759320861311,3284473.83602626 -130.443899668171,3284473.83334522 -129.895750661555,3284473.37710493 -129.822268668911,3284472.74426681 -130.064207905147,3284472.1141097 -130.30154145608,3284472.02581078 -131.16971750313,3284471.94287396 -131.17355563282,3284471.49132548 -131.179696639243,3284470.76884792 -131.184302393289,3284470.22698974 -131.112355693243,3284469.41353222 -131.123102438636,3284468.14919648 -131.44005904661,3284467.97125815 -132.22938007873,3284467.88765114 -132.779064548493,3284468.16327214 -133.089880060172,3284468.70781141 -133.246055445634,3284468.88977136 -133.954985801305,3284468.98611359 -134.823162120068,3284468.90317705 -135.924833803205,3284469.18349025 -137.183448422118,3284469.55545386 -137.811988024099,3284469.83174542 -138.832501161902,3284470.38231769 -139.145619388728,3284470.65592806 -139.85147880984,3284471.11350945 -140.161526198965,3284471.74835864 -140.786227086908,3284472.47619886 -141.09704208927,3284473.02073837 -141.088597317808,3284474.01414505 -140.920138842775,3284475.27714014 -140.441633190436,3284475.90528604 -139.802346239099,3284476.89333008 -139.00918731268,3284477.42848503 -138.761106152902,3284478.78111954 -138.124122561712,3284479.49823458 -135.676538854372,3284479.83869388</coordinates></LinearRing></outerBoundaryIs></Polygon>"
586,High,OSBS_006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-141.97936580755,3284489.82705671 -140.174908933754,3284488.72792255 -140.018733948295,3284488.54596249 -139.945252661128,3284487.91312427 -139.392498559086,3284487.99874168 -138.288525757845,3284487.98935717 -138.054263217549,3284487.71641713 -137.903461973532,3284486.90228921 -137.9088357648,3284486.27012132 -137.915744923521,3284485.45733403 -137.996135511319,3284485.27738495 -138.470802202355,3284485.10078745 -139.107017822098,3284484.47398213 -139.50973861001,3284483.48392706 -140.067099140026,3284482.85645147 -140.776028562395,3284482.95279415 -142.115799856256,3284483.05449961 -142.902816764312,3284483.24182248 -143.134008386172,3284483.87600142 -143.523678161087,3284484.42121138 -144.070290607749,3284485.05807176 -144.776916645584,3284485.4253438 -144.449211972533,3284486.86761755 -143.811460710887,3284487.67504197 -143.176012719923,3284488.21153734 -142.774827205227,3284489.02097288 -141.97936580755,3284489.82705671</coordinates></LinearRing></outerBoundaryIs></Polygon>"
