crown_id,confidence,Plot_ID,kmlgeometry
260,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>131.448579666438,3286370.0287873 131.72985266411,3286369.61860398 132.001331445237,3286368.06674785 131.989438448218,3286366.68043084 131.914048159844,3286366.19175324 131.551088440523,3286365.37932641 130.908254750539,3286365.14017904 130.339412198577,3286365.22661318 129.487197795301,3286365.47858653 128.995144912566,3286366.21679444 128.930248643213,3286366.95133775 128.868150827126,3286368.0120733 129.161317139515,3286368.98820693 129.95283257158,3286369.9600652 131.448579666438,3286370.0287873</coordinates></LinearRing></outerBoundaryIs></Polygon>"
217,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>126.990578917437,3286399.28585937 129.077916873386,3286398.80724745 129.959531787143,3286398.43112072 129.471393305401,3286397.79032291 129.141751963354,3286396.87174293 128.334247665131,3286396.51010748 128.244328098081,3286395.40518929 127.112715242547,3286394.76991213 126.803625437315,3286396.24681679 126.990578917437,3286399.28585937</coordinates></LinearRing></outerBoundaryIs></Polygon>"
34,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.199907636095,3286390.02931999 123.944159679755,3286391.11146462 124.660954104504,3286390.27604757 125.294942935463,3286389.1649186 125.044154406874,3286388.06138061 125.025183214108,3286385.8501641 124.140405548853,3286385.85775511 122.773021880537,3286385.8694868 121.414333665976,3286386.8946929 120.379754491907,3286388.19354074 121.199907636095,3286390.02931999</coordinates></LinearRing></outerBoundaryIs></Polygon>"
192,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>129.681679817499,3286384.79666573 131.994515471393,3286382.47330389 131.750841173984,3286382.19897195 131.422780442343,3286381.46465996 130.376343295502,3286381.38149653 129.654805295635,3286381.66410905 129.007378236158,3286381.2089594 128.363112872408,3286381.12234587 126.192965881666,3286381.32524584 125.554233720875,3286381.88357061 126.606204037147,3286382.61167173 127.496515069855,3286383.24901907 127.98860647314,3286384.3504869 128.475955157366,3286384.89915063 129.681679817499,3286384.79666573</coordinates></LinearRing></outerBoundaryIs></Polygon>"
460,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>141.995246634702,3286385.5203003 140.848617265234,3286383.13447541 140.838342912146,3286381.93673317 139.863646500045,3286380.83940468 138.978078118525,3286380.75486048 137.775514408713,3286381.22588045 137.303182953503,3286382.42776267 136.591919675993,3286383.90811699 136.763063165126,3286385.10447923 137.091123441991,3286385.83879138 137.740920982382,3286386.57034354 139.112256268272,3286387.01928377 140.478849402687,3286386.91542005 141.995246634702,3286385.5203003</coordinates></LinearRing></outerBoundaryIs></Polygon>"
522,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>139.929064376454,3286379.08816835 140.732617830683,3286378.98913457 141.124515421281,3286377.78794247 141.52747768932,3286377.87662664 141.75139368698,3286375.84760836 141.727683933044,3286373.08358784 140.279074002348,3286373.00387331 138.351018914022,3286373.29683495 137.555368657166,3286374.31720908 137.405564884073,3286375.60846532 138.060105103417,3286376.89282161 139.03717307013,3286378.26655201 139.929064376454,3286379.08816835</coordinates></LinearRing></outerBoundaryIs></Polygon>"
284,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>134.099245369434,3286384.02164144 135.785995472572,3286383.73074903 135.944493038696,3286383.45296696 135.93975078623,3286382.90016284 136.816624981177,3286381.97123259 137.053185862664,3286381.41635847 138.005752493977,3286379.9339342 137.997058562934,3286378.92046 137.911882035318,3286378.36834589 137.41821066523,3286377.08260961 136.608334148652,3286376.44457149 136.119404781959,3286375.71163937 134.509135930683,3286375.54117158 132.581081397482,3286375.83413424 131.947881450469,3286377.03739676 131.560727263859,3286378.79139332 131.731080938829,3286379.89562147 133.03700050374,3286382.09579738 132.971583742998,3286383.84703378 134.099245369434,3286384.02164144</coordinates></LinearRing></outerBoundaryIs></Polygon>"
554,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>108.354349158937,3286367.82768049 109.236143724003,3286363.88716304 108.777248590486,3286363.7600024 108.312729115307,3286362.97739825 107.041487074108,3286361.5462248 106.239264032862,3286361.42201039 105.646802943898,3286359.06732387 105.065590637154,3286358.02352448 103.577836446173,3286358.03629133 101.861196991522,3286358.05102255 100.946780896687,3286358.18996802 100.150182327721,3286358.72119759 99.4680264525814,3286359.2514451 98.7948704467854,3286360.83040233 99.3738332778448,3286361.612024 100.654075964936,3286364.09190628 101.006403285428,3286365.13766966 101.933193163131,3286366.4407 103.198810714064,3286367.21642932 105.379968309193,3286367.98430229 108.354349158937,3286367.82768049</coordinates></LinearRing></outerBoundaryIs></Polygon>"
225,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>146.57781297277,3286374.13981634 147.144556727144,3286373.80873884 147.497722375789,3286373.47949333 148.132161543821,3286372.74006495 149.114170836692,3286371.01900669 149.037382392096,3286370.36723288 148.460845846101,3286369.55663747 147.317565179896,3286369.07711953 146.523253310064,3286367.77906784 145.591452168068,3286367.05307393 144.805533894221,3286366.73359904 143.73764254729,3286366.74275914 142.741643466288,3286366.83285671 141.889428941999,3286367.08482912 141.186595169012,3286368.15106078 141.264783125371,3286368.96593067 142.773820923176,3286370.58406738 144.638821896166,3286372.19915092 146.57781297277,3286374.13981634</coordinates></LinearRing></outerBoundaryIs></Polygon>"
190,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>131.688742355152,3286373.1257813 132.020220332313,3286370.26854545 131.310391754552,3286370.51929717 129.527774962015,3286370.20837398 128.513586300425,3286368.17822328 128.09132711764,3286368.75272435 127.963633605221,3286370.46645516 127.914828678244,3286373.07660387 131.688742355152,3286373.1257813</coordinates></LinearRing></outerBoundaryIs></Polygon>"
482,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>132.200992024504,3286406.00686412 134.687315235962,3286405.73100841 135.826100071077,3286403.78684186 135.50543005456,3286402.66967856 133.848574231321,3286401.20764169 131.930332296004,3286400.35870978 131.548734228127,3286402.50000156 132.200992024504,3286406.00686412</coordinates></LinearRing></outerBoundaryIs></Polygon>"
40,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>126.812685981626,3286404.72955639 128.208924702776,3286401.71417118 127.759307953063,3286401.10716627 126.603055975633,3286401.01527581 125.177557873307,3286400.62026432 124.249171324249,3286401.18818663 123.420141422306,3286402.97698121 126.812685981626,3286404.72955639</coordinates></LinearRing></outerBoundaryIs></Polygon>"
566,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>109.047054643335,3286394.94933423 108.865204112488,3286392.00434426 108.103631200909,3286391.88276845 106.583563261025,3286391.99830105 105.018541744328,3286392.08859745 104.831090867985,3286393.70440323 105.981914496457,3286394.87314785 109.047054643335,3286394.94933423</coordinates></LinearRing></outerBoundaryIs></Polygon>"
410,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>116.9415175576,3286393.99576412 116.97743045137,3286393.92574793 117.010113769094,3286393.47933602 116.977011021401,3286391.03983854 116.380067054299,3286390.97525245 115.066270093899,3286391.05623336 115.023330378928,3286391.72579902 114.994146556128,3286393.99853165 116.9415175576,3286393.99576412</coordinates></LinearRing></outerBoundaryIs></Polygon>"
311,High,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>115.091211332474,3286398.83893176 115.430045259593,3286397.98638322 116.026316050324,3286398.32112346 118.047294322343,3286397.56742721 117.984726899129,3286396.03860991 117.094694382104,3286396.04624659 116.052435279358,3286395.60204753 115.948682975722,3286395.0365103 115.25594941515,3286394.98581148 114.521545381926,3286395.8417542 114.030484787771,3286396.24246698 113.245176704018,3286396.92891834 112.211665495357,3286397.50421401 112.811338384869,3286398.23542412 113.962695667811,3286399.86818443 115.091211332474,3286398.83893176</coordinates></LinearRing></outerBoundaryIs></Polygon>"
376,Medium,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>108.378499324142,3286391.51757843 109.841352423653,3286392.81517451 109.582179065037,3286393.37169217 109.718035011552,3286393.82403943 110.122143894609,3286394.77798822 111.274052376626,3286395.72552029 112.207316662883,3286396.82609961 112.644172317814,3286396.46961873 113.871951159148,3286396.0055706 114.261359936791,3286395.24637422 115.004836229724,3286394.73609147 115.131612816243,3286394.13031963 114.633475117385,3286392.47171277 114.142687116517,3286391.66967859 112.902802015538,3286390.72290112 111.707769649394,3286389.87651958 110.905604776868,3286388.67403469 109.355639516725,3286387.47796664 108.118780130288,3286386.88389607 106.269976465264,3286386.74858987 104.999505779706,3286387.36417616 104.836524322222,3286388.87728489 105.119478663313,3286391.09203163 108.378499324142,3286391.51757843</coordinates></LinearRing></outerBoundaryIs></Polygon>"
401,Medium,OSBS_017,"<Polygon><outerBoundaryIs><LinearRing><coordinates>108.409679890203,3286386.46722487 113.849631912482,3286391.08114012 115.251466379268,3286390.64542133 116.507537840691,3286390.46516763 117.765790383157,3286390.53910959 118.121110586508,3286388.84129937 117.443002394924,3286387.40657038 115.361604858888,3286386.23809633 113.650067511422,3286385.06644905 111.491061691428,3286383.47495124 110.298782660568,3286382.468325 108.088343378389,3286383.50414955 108.409679890203,3286386.46722487</coordinates></LinearRing></outerBoundaryIs></Polygon>"
